#{"t_start": 1621568387.765816, "env_id": null}
r,l,t
-0.857143,7,110.562222
1.166667,8,110.662419
1.261905,12,110.777687
-0.738095,12,110.909463
1.190476,9,111.011662
-0.904762,5,111.095343
-9.714286,13,111.225956
1.261905,12,111.339364
1.142857,7,111.406983
-9.785714,10,111.66195
1.285714,13,111.779995
-0.714286,13,111.911733
-0.857143,7,111.983052
1.214286,10,112.06925
1.142857,7,112.141614
-0.761905,11,112.234849
-9.738095,12,112.346125
1.214286,10,112.432463
1.166667,8,112.510444
1.190476,9,112.59583
-9.738095,12,112.699707
1.238095,11,112.796478
1.166667,8,113.013146
-0.761905,11,113.122251
-0.880952,6,113.184535
1.285714,13,113.296095
1.238095,11,113.399896
1.214286,10,113.494324
1.261905,12,113.620481
1.261905,12,113.724156
1.071429,4,113.764595
-0.809524,9,113.84853
1.214286,10,113.93824
1.142857,7,114.016354
-9.666667,15,114.149619
-0.738095,12,114.407784
-0.714286,13,114.521286
-0.809524,9,114.614231
-0.833333,8,114.685009
1.214286,10,114.774335
1.214286,10,114.859209
1.166667,8,114.940207
-0.761905,11,115.049114
-0.857143,7,115.120034
-0.809524,9,115.210999
1.142857,7,115.273683
1.142857,7,115.341113
1.166667,8,115.410302
1.119048,6,115.47257
1.095238,5,115.524013
-9.880952,6,115.75497
1.071429,4,115.808174
1.357143,16,115.960439
1.190476,9,116.252049
1.285714,13,116.459132
1.190476,9,116.557284
-9.761905,11,116.673701
-0.833333,8,116.758317
1.238095,11,116.862813
1.309524,14,117.009294
1.285714,13,117.146419
-9.690476,14,117.293887
1.142857,7,117.778751
1.214286,10,118.148435
1.095238,5,118.25465
1.285714,13,118.364462
-9.714286,13,118.482392
1.095238,5,118.537548
-0.738095,12,118.744624
-0.928571,4,118.800044
-9.738095,12,118.910104
1.190476,9,118.994504
1.142857,7,119.064897
1.119048,6,119.118612
-0.904762,5,119.169385
-0.904762,5,119.219422
-9.785714,10,119.297505
-9.690476,14,119.53141
1.261905,12,119.634207
-9.785714,10,119.715012
1.190476,9,119.793641
1.285714,13,119.898238
-9.690476,14,120.030031
1.214286,10,120.117043
1.166667,8,120.190082
1.214286,10,120.28829
1.285714,13,120.622114
1.095238,5,120.671224
1.214286,10,120.754714
-9.738095,12,120.973953
1.214286,10,121.055654
1.214286,10,121.143582
-0.785714,10,121.236404
1.166667,8,121.301773
1.095238,5,121.344207
1.166667,8,121.408921
1.166667,8,121.475387
1.142857,7,121.534451
1.214286,10,121.638292
-0.761905,11,121.736128
1.119048,6,121.788807
1.166667,8,121.853095
1.333333,15,121.975232
1.142857,7,122.159441
1.214286,10,122.24485
-0.785714,10,122.329546
1.214286,10,122.410307
1.190476,9,122.493597
1.142857,7,122.555895
1.380952,17,122.702127
-9.761905,11,122.791843
1.214286,10,122.873262
1.166667,8,122.941042
-0.809524,9,123.022628
1.190476,9,123.103157
-0.690476,14,123.223003
1.071429,4,123.380537
1.238095,11,123.485077
-0.809524,9,123.565615
1.119048,6,123.62498
1.190476,9,123.69908
-0.809524,9,123.776526
1.095238,5,123.822139
-0.785714,10,123.90469
-0.738095,12,124.011457
-0.809524,9,124.098497
1.119048,6,124.148473
1.166667,8,124.215035
1.285714,13,124.321779
-0.809524,9,124.396377
-9.809524,9,124.466753
1.119048,6,124.651688
-0.785714,10,124.746115
1.238095,11,124.841652
1.142857,7,124.898619
1.309524,14,125.01241
1.166667,8,125.080271
1.166667,8,125.148687
1.190476,9,125.22844
-9.666667,15,125.350578
1.190476,9,125.427321
1.214286,10,125.508855
-0.857143,7,125.567194
-0.880952,6,125.632396
-0.690476,14,125.882412
1.166667,8,125.955578
1.285714,13,126.063402
-0.714286,13,126.168284
1.214286,10,126.249132
1.214286,10,126.328996
-9.619048,17,126.45286
1.095238,5,126.498133
-0.833333,8,126.567501
-9.738095,12,126.675639
-0.809524,9,126.755799
-0.809524,9,126.831938
1.285714,13,127.081768
1.166667,8,127.148349
1.238095,11,127.235337
1.309524,14,127.347086
-0.809524,9,127.420199
1.214286,10,127.503921
-0.809524,9,127.585049
1.285714,13,127.689172
1.119048,6,127.740338
1.261905,12,127.83772
1.214286,10,127.923082
-0.857143,7,127.986281
1.166667,8,128.048432
1.309524,14,128.284547
-0.761905,11,128.375797
1.285714,13,128.484881
1.214286,10,128.568722
-0.880952,6,128.625527
1.238095,11,128.711355
1.214286,10,128.805167
-9.690476,14,128.916528
1.214286,10,129.01579
-9.761905,11,129.102903
1.285714,13,129.209856
1.214286,10,129.302382
1.119048,6,129.478396
1.214286,10,129.559742
1.309524,14,129.693286
-0.809524,9,129.776167
1.214286,10,129.856222
-9.666667,15,129.974654
1.190476,9,130.049645
1.119048,6,130.100273
1.190476,9,130.176336
-0.690476,14,130.289313
1.238095,11,130.415813
1.190476,9,130.499538
1.166667,8,130.561904
